"","db","query","class"
"68","ncbi","Luzula pilosa","Magnoliopsida"
"69","ncbi","Luzula sp.",NA
"70","ncbi","Lycopodium annotinum","Lycopodiopsida"
"71","ncbi","Lycopodium clavatum","Lycopodiopsida"
"72","ncbi","Maianthemum bifolium","Magnoliopsida"
"73","ncbi","Marchantiophyta",NA
"74","ncbi","Melampyrum pratense","Magnoliopsida"
"75","ncbi","Melampyrum","Magnoliopsida"
"76","ncbi","Melampyrum sylvaticum","Magnoliopsida"
"77","ncbi","Melica nutans","Magnoliopsida"
"78","ncbi","Milium effusum","Magnoliopsida"
"79","ncbi","Molinia caerulea","Magnoliopsida"
"80","ncbi","Orchidaceae","Magnoliopsida"
"81","ncbi","Orthilia secunda","Magnoliopsida"
"82","ncbi","Oxalis acetosella","Magnoliopsida"
"83","ncbi","Phegopteris connectilis","Polypodiopsida"
"84","ncbi","Picea abies","Pinopsida"
"85","ncbi","Pinguicula vulgaris","Magnoliopsida"
"86","ncbi","Pinus sylvestris","Pinopsida"
"87","ncbi","Plagiochila asplenioides","Jungermanniopsida"
"88","ncbi","Plagiomnium ellipticum","Bryopsida"
"89","ncbi","Plagiomnium undulatum","Bryopsida"
"90","ncbi","Plagiothecium","Bryopsida"
"91","ncbi","Plagiothecium undulatum","Bryopsida"
"92","ncbi","Pleurozium schreberi","Bryopsida"
"93","ncbi","Poa nemoralis","Magnoliopsida"
"94","ncbi","Poa pratensis","Magnoliopsida"
"95","ncbi","Poaceae","Magnoliopsida"
"96","ncbi","Potentilla erecta","Magnoliopsida"
"97","ncbi","Ptilidium ciliare","Jungermanniopsida"
"98","ncbi","Ptilium crista-castrensis","Bryopsida"
"99","ncbi","Pyrola sp.",NA
"100","ncbi","Ranunculus acris","Magnoliopsida"
"101","ncbi","Ranunculus repens","Magnoliopsida"
"102","ncbi","Rhodobryum roseum","Bryopsida"
"103","ncbi","Rhytidiadelphus loreus","Bryopsida"
"104","ncbi","Rhytidiadelphus","Bryopsida"
"105","ncbi","Rhytidiadelphus triquetrus","Bryopsida"
"106","ncbi","Rubus chamaemorus","Magnoliopsida"
"107","ncbi","Rubus idaeus","Magnoliopsida"
"108","ncbi","Rubus saxatilis","Magnoliopsida"
"109","ncbi","Rumex acetosa","Magnoliopsida"
"110","ncbi","Salix caprea","Magnoliopsida"
"111","ncbi","Salix sp.","Magnoliopsida"
"112","ncbi","Sciuro-hypnum reflexum","Bryopsida"
"113","ncbi","Sciuro-hypnum starkei","Bryopsida"
"114","ncbi","Selaginella selaginoides","Lycopodiopsida"
"115","ncbi","Solidago virgaurea","Magnoliopsida"
"116","ncbi","Sorbus aucuparia","Magnoliopsida"
"117","ncbi","Sphagnum","Sphagnopsida"
"118","ncbi","Stellaria graminea","Magnoliopsida"
"119","ncbi","Taraxacum taraxacum (L.) H.Karst.",NA
"120","ncbi","Trientalis europaea","Magnoliopsida"
"121","ncbi","Vaccinium myrtillus","Magnoliopsida"
"122","ncbi","Vaccinium uliginosum","Magnoliopsida"
"123","ncbi","Vaccinium vitis-idaea","Magnoliopsida"
"124","ncbi","Veronica chamaedrys","Magnoliopsida"
"125","ncbi","Veronica officinalis","Magnoliopsida"
"126","ncbi","Viola sp.",NA
